"id","titulo","categ","operacion","tipo_inmueble","precio","moneda","condicion","barrio","departamento","direccion","zip","lat","long","terraza","baulera","biblio","cocina","comedor","depserv","dormsuite","entrepiso","escritorio","estar","lavadero","livingcomedor","living","patio","playroom","toilette","vestidor","aircond","calefacc","tenis","asc_serv","estacionam_cortesia","gym","guarderia","internet","jardin","kitchenette","lavadero_2","losa_rad","parrillero","piscina","sala_reuniones","spa","salon_comunal","seguridad","jacuzzi","tipo_inmueble_2","operacion_2","amoblado","banos","ap_ppiso","dormitorios","tipo_edif","estado","expensas","luminosidad","sup_constru","sup_terr","orientacion","antiguedad","altillo","bodega","galeria","sotano","alarma","futbol","estufa_lena","porton_electr","garage","tipo_ubicacion","num_plantas","agua_corr","gas_caneria","luz_electr","acceso","disposicion","horario_contacto","apto_profesional","condicion_2","aircond_pamb","calefacc_pamb","estacionamiento","mascotas","ambientes","ascensores","capacidad_personas","pisos_edificio","casco","casa_casero","antig_casco","estado_casco","galpones","tanque_agua","desag_cloaca","pavimento","alarma_2","deposito","sist_incendio","vestuario","localizacion_local","balcon","comedor_diario","bar","caja_seg","golf","paddle","pileta","sauna","solarium","salon_comunal_2","quincho","basquet","volley","hogar_lena","salamandra","vigilancia","sup_contru_2","amb_casco","recepcion","cobertura_techo","tipo_cochera","mes","dia","ano","fuente"
"MLU450566865","Pent House. Muy Luminoso. Sol. Cerca Del Centro.servicios","MLU1474","Venta","Apartamentos",110000,"USD","used","Cord<f3>n","Montevideo","a pasos de OSE 0000",NA,NA,NA,"S<ed>","No","No","S<ed>","No","No","No","No","No","No","No","S<ed>","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Apartamentos","Venta",NA,"1",NA,"3","Departamento","Bueno","3500","Muy buena",57,77,"Frente","Max 30 a<f1>os",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sobre calle",NA,NA,NA,NA,NA,NA,"0900 a 1900",NA,NA,"No","No",NA,NA,"4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"febrero",23,2018,"meli"
"MLU450682216","Casa En Venta En Ituzaing<f3>","MLU1468","Venta","Casas",50000,"USD","not_specified","Ituzaing<f3>","Montevideo","Luis Galvani 4975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Casas","Venta",NA,"2",NA,"2","Casa",NA,NA,NA,80,140,NA,"Max 40 a<f1>os",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"febrero",23,2018,"meli"
"MLU450882608","Apartamento En Venta En Parque Batlle","MLU1474","Venta","Apartamentos",85000,"USD","not_specified","Parque Batlle","Montevideo","Excelente Ideal Renta Francisco Simon Y Av Italia 0",NA,NA,NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Apartamentos","Venta",NA,"1",NA,"1","Departamento",NA,NA,NA,45,45,NA,"M<e1>s de 40 a<f1>os",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"febrero",23,2018,"meli"
"MLU450853290","Vendo Casa En Curva De Maro<f1>as .","MLU1468","Venta","Casas",90000,"USD","used","Maro<f1>as. Curva","Montevideo","Alferez Real y timoteo aparicio 2521",NA,NA,NA,"No","No","No","S<ed>","S<ed>","No","No","No","No","S<ed>","S<ed>","S<ed>","S<ed>","S<ed>","No","No","No","S<ed>","No","No",NA,NA,"No",NA,"No","S<ed>",NA,NA,NA,"S<ed>","No",NA,NA,NA,"No","No","Casas","Venta",NA,"1",NA,"3","Casa","Bueno",NA,"Muy buena",220,440,"Este","M<e1>s de 40 a<f1>os","No","No","No","No","S<ed>","No","S<ed>","No","S<ed>","Sobre calle","1",NA,NA,NA,NA,NA,"14 a 22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"febrero",23,2018,"meli"
"MLU450738582","Hermosa Casa Reciclada. Parque Rod<f3> (cord<f3>n Soho)","MLU1468","Venta","Casas",230000,"USD","used","Parque Rod<f3>","Montevideo","Joaqu<ed>n Requena esquina Charr<fa>a 1204",NA,NA,NA,"S<ed>","S<ed>","No","S<ed>","S<ed>","No","S<ed>","No","No","No","No","S<ed>","No","S<ed>","No","No","No","No","No","No",NA,NA,"No",NA,"No","No",NA,NA,NA,"No","No",NA,NA,NA,"No","No","Casas","Venta",NA,"2",NA,"3","Casa","Muy bueno",NA,"Muy buena",110,110,NA,"Max 20 a<f1>os","No","No","No","No","S<ed>","No","S<ed>","No","No","Sobre calle","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"febrero",23,2018,"meli"
"MLU450635632","Apartamento En Venta Belvedere.. Nuevo Paris  2 Dormitorios","MLU1474","Venta","Apartamentos",49000,"USD","not_specified","Belvedere","Montevideo","Apartamenot 2 dormitorios Ideal renta Cocina y Ba<f1>o nuevo pronto para ocupar o alquilar !! 0",NA,NA,NA,"No","No","No","S<ed>","No","No","No","No","No","No","No","S<ed>","No","S<ed>","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Apartamentos","Venta","No","1","4","2","Departamento","Muy bueno",NA,"Muy buena",48,48,"Frente","M<e1>s de 40 a<f1>os",NA,NA,NA,NA,NA,NA,NA,NA,"No","Sobre calle",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No tiene",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"febrero",23,2018,"meli"
"MLU450796513","Apartamento En El Mejor Lugar De Malv<ed>n","MLU1474","Venta","Apartamentos",298000,"USD","used","Malvin","Montevideo","Rambla Rep<fa>blica de Chile 4410",NA,NA,NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Apartamentos","Venta",NA,"2",NA,"3","Departamento",NA,NA,NA,100,1000,NA,"Max 30 a<f1>os",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"febrero",23,2018,"meli"
"MLU451366700","Apartamento En Venta Barrio Buceo Sur","MLU1474","Venta","Apartamentos",98000,"USD","not_specified","Buceo","Montevideo","Andres Aguiar 1659  esquina Ram<f3>n Anador 1659",NA,NA,NA,"No","No","No","S<ed>","S<ed>","No","S<ed>","No","No","No","No","S<ed>","S<ed>","S<ed>","No","S<ed>","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Apartamentos","Venta","No","1","1","1","Departamento",NA,NA,"Muy buena",37,37,NA,"Max 30 a<f1>os",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"febrero",23,2018,"meli"
"MLU450639511","Casa Zona De Sanatorios - U Catolica - Baj<f3>","MLU1468","Venta","Casas",150000,"USD","used","La Blanqueada","Montevideo","MATEO VIDAL 1111",NA,NA,NA,"No","No","No","S<ed>","No","No","S<ed>","No","No","No","No","No","No","S<ed>","No","No","No","No","No","No",NA,NA,"No",NA,"No","No",NA,NA,NA,"No","No",NA,NA,NA,"No","No","Casas","Venta",NA,"2",NA,"2","Casa","Regular",NA,"Muy buena",110,110,"Oeste","Max 30 a<f1>os","No","No","No","No","No","No","No","No","S<ed>","Sobre calle","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"febrero",23,2018,"meli"
"MLU436085712","Venta De Apartamento Monoambiente A Estrenar En Cord<f3>n","MLU1474","Venta","Apartamentos",83700,"USD","used","Cord<f3>n","Montevideo","Tacuaremb<f3> esq Guayabos 0",NA,NA,NA,"S<ed>","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Apartamentos","Venta",NA,"1","2","No tiene","Departamento","Excelente",NA,"Muy buena",25,47,"Contrafrente","A estrenar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,"1",NA,NA,"M<e1>s de 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"febrero",23,2018,"meli"
